customer_state,total_orders,total_revenue,avg_order_value,country
AC,91,15930.97,175.0656043956044,Brazil
AL,427,78855.72,184.67381733021077,Brazil
AM,163,22155.84,135.92539877300612,Brazil
AP,81,13374.81,165.1211111111111,Brazil
BA,3683,493584.14,134.01687211512353,Brazil
CE,1426,219757.38,154.10755960729313,Brazil
DF,2355,296498.41,125.9016602972399,Brazil
ES,2225,268643.45,120.73862921348315,Brazil
GO,2277,282836.7,124.21462450592885,Brazil
MA,800,117009.38,146.261725,Brazil
MG,12916,1552481.83,120.19834546299164,Brazil
MS,811,115429.97,142.33041923551173,Brazil
MT,1037,152191.62,146.76144648023143,Brazil
PA,1054,174470.59,165.53186907020873,Brazil
PB,586,112586.82,192.12767918088738,Brazil
PE,1746,251889.49,144.2666036655212,Brazil
PI,523,84721.0,161.9904397705545,Brazil
PR,5649,666063.51,117.90821561338291,Brazil
RJ,14143,1759651.1300000001,124.41852011595843,Brazil
RN,521,82105.66,157.59243761996163,Brazil
RO,273,45682.76,167.33611721611723,Brazil
RR,46,7057.47,153.4232608695652,Brazil
RS,6133,728718.47,118.81925158976031,Brazil
SC,4097,507012.13,123.7520453990725,Brazil
SE,375,56574.19,150.86450666666667,Brazil
SP,46441,5066562.98,109.09676751146617,Brazil
TO,310,48402.51,156.13712903225806,Brazil
